echo221 {'mean': 0.37340205164311674, 'p99': 0.5008800013456493, 'max': 0.8694999996805564}
echo232 {'mean': 0.36766694542287714, 'p99': 0.475355008529732, 'max': 0.7455000013578683}
h0-near {'mean': 0.36494407468339946, 'p99': 0.4974599985871458, 'max': 1.4248999941628426}
h0-raw {'mean': 0.37456718872355554, 'p99': 0.5907199985813346, 'max': 1.6202999977394938}
h1-near {'mean': 0.36079177255689804, 'p99': 0.47794000129215414, 'max': 0.7363999902736396}
h1-raw {'mean': 0.3766157694659666, 'p99': 0.5900600051972998, 'max': 1.2981999898329377}
h2-near {'mean': 0.3588543582847205, 'p99': 0.4690200032200664, 'max': 0.5072000058135018}
h2-raw {'mean': 0.3785501467206549, 'p99': 0.6193399924086392, 'max': 1.3841000036336482}
h3-near {'mean': 0.3613157692370137, 'p99': 0.4818799934582783, 'max': 0.5986000032862648}
h3-raw {'mean': 0.36449510304610283, 'p99': 0.48855999484658236, 'max': 0.6409999914467335}
echo243 {'mean': 0.3742798784426495, 'p99': 0.5301960109500211, 'max': 1.3980999938212335}
