echo221 {'mean': 0.3610958206261392, 'p99': 0.5889300067792641, 'max': 1.1789999989559874}
echo232 {'mean': 0.3482399694988678, 'p99': 0.46395000535994685, 'max': 0.705700003891252}
h0-near {'mean': 0.3352639569993743, 'p99': 0.5648399965139101, 'max': 1.9717000104719773}
h0-raw {'mean': 0.3466691480207017, 'p99': 0.4553800041321665, 'max': 0.8280000038212165}
h1-near {'mean': 0.33860225270932814, 'p99': 0.47271999355871225, 'max': 1.039199996739626}
h1-raw {'mean': 0.35057649342537045, 'p99': 0.4770399944391098, 'max': 0.6562999915331602}
h2-near {'mean': 0.3305320274465636, 'p99': 0.43675999331753657, 'max': 0.6239999929675832}
h2-raw {'mean': 0.3536585699437354, 'p99': 0.4803200077731161, 'max': 1.5276000049198046}
h3-near {'mean': 0.33185288925649714, 'p99': 0.4544800118310377, 'max': 0.5741000059060752}
h3-raw {'mean': 0.3591694416409636, 'p99': 0.5094000021927055, 'max': 3.2256999984383583}
echo243 {'mean': 0.35539263484024725, 'p99': 0.48054400598630215, 'max': 1.5352000045822933}
