unix,temp_c,sm_mhz,pstate,vram_mib,reasons
1785432174,61,900,P3,856,0x0000000000000020
1785432184,60,900,P3,2381,0x0000000000000020
1785432194,62,900,P3,2394,0x0000000000000020
1785432204,62,900,P3,2401,0x0000000000000020
1785432214,62,900,P3,2392,0x0000000000000020
1785432224,63,900,P3,2387,0x0000000000000020
1785432234,62,900,P3,2386,0x0000000000000020
1785432244,63,900,P3,2387,0x0000000000000020
1785432255,63,900,P3,2404,0x0000000000000020
1785432265,63,900,P3,2404,0x0000000000000020
1785432275,63,900,P3,2397,0x0000000000000020
1785432285,62,900,P3,2397,0x0000000000000020
1785432295,62,900,P3,2409,0x0000000000000020
1785432305,63,900,P3,2405,0x0000000000000020
1785432315,62,900,P3,2403,0x0000000000000020
1785432325,63,900,P3,2397,0x0000000000000020
1785432335,63,900,P3,2398,0x0000000000000020
1785432345,61,900,P3,857,0x0000000000000020
1785432355,62,900,P3,2408,0x0000000000000020
1785432365,61,900,P3,2395,0x0000000000000020
1785432376,62,900,P3,2399,0x0000000000000020
1785432386,64,900,P3,2398,0x0000000000000020
1785432396,63,900,P3,2403,0x0000000000000020
1785432406,62,900,P3,2395,0x0000000000000020
1785432416,62,900,P3,2402,0x0000000000000020
1785432426,62,900,P3,2377,0x0000000000000020
1785432436,62,900,P3,2377,0x0000000000000020
1785432446,63,900,P3,2377,0x0000000000000020
1785432456,62,900,P3,2377,0x0000000000000020
1785432466,63,900,P3,2377,0x0000000000000020
1785432476,63,900,P3,2381,0x0000000000000020
1785432486,60,900,P3,2160,0x0000000000000020
1785432496,63,900,P3,2395,0x0000000000000020
1785432507,62,900,P3,2418,0x0000000000000020
1785432517,63,900,P3,2381,0x0000000000000020
1785432527,63,900,P3,2374,0x0000000000000020
1785432537,64,900,P3,2363,0x0000000000000020
1785432547,63,900,P3,2347,0x0000000000000020
1785432557,62,900,P3,2349,0x0000000000000020
1785432567,63,900,P3,2347,0x0000000000000020
1785432577,63,900,P3,2347,0x0000000000000020
1785432587,62,900,P3,2347,0x0000000000000020
1785432597,61,900,P3,2347,0x0000000000000020
1785432607,62,900,P3,2347,0x0000000000000020
1785432617,62,900,P3,2347,0x0000000000000020
1785432627,60,900,P3,798,0x0000000000000020
1785432638,59,900,P3,797,0x0000000000000020
1785432648,59,900,P3,2347,0x0000000000000020
1785432658,59,900,P3,2347,0x0000000000000020
1785432668,61,900,P3,2347,0x0000000000000020
1785432678,61,900,P3,2347,0x0000000000000020
1785432688,61,900,P3,2347,0x0000000000000020
1785432698,62,900,P3,2347,0x0000000000000020
1785432708,61,900,P3,2347,0x0000000000000020
1785432718,61,900,P3,2347,0x0000000000000020
1785432728,61,900,P3,2347,0x0000000000000020
1785432738,60,900,P3,2347,0x0000000000000020
1785432748,61,900,P3,2347,0x0000000000000020
1785432758,61,900,P3,2347,0x0000000000000020
1785432768,61,900,P3,2347,0x0000000000000020
