INFO:lora-to-gguf:Loading base model: base
INFO:lora-to-gguf:Using model architecture: Gemma4ForConditionalGeneration
INFO:gguf.gguf_writer:gguf: This GGUF file is for Little Endian only
INFO:lora-to-gguf:Exporting model...
INFO:hf-to-gguf:blk.0.ffn_down.weight.lora_a,      torch.float32 --> F32, shape = {6144, 16}
INFO:hf-to-gguf:blk.0.ffn_down.weight.lora_b,      torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.0.ffn_gate.weight.lora_a,      torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.0.ffn_gate.weight.lora_b,      torch.float32 --> F32, shape = {16, 6144}
INFO:hf-to-gguf:blk.0.ffn_up.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.0.ffn_up.weight.lora_b,        torch.float32 --> F32, shape = {16, 6144}
INFO:hf-to-gguf:blk.0.attn_k.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.0.attn_k.weight.lora_b,        torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.0.attn_output.weight.lora_a,   torch.float32 --> F32, shape = {2048, 16}
INFO:hf-to-gguf:blk.0.attn_output.weight.lora_b,   torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.0.attn_q.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.0.attn_q.weight.lora_b,        torch.float32 --> F32, shape = {16, 2048}
INFO:hf-to-gguf:blk.0.attn_v.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.0.attn_v.weight.lora_b,        torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.1.ffn_down.weight.lora_a,      torch.float32 --> F32, shape = {6144, 16}
INFO:hf-to-gguf:blk.1.ffn_down.weight.lora_b,      torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.1.ffn_gate.weight.lora_a,      torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.1.ffn_gate.weight.lora_b,      torch.float32 --> F32, shape = {16, 6144}
INFO:hf-to-gguf:blk.1.ffn_up.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.1.ffn_up.weight.lora_b,        torch.float32 --> F32, shape = {16, 6144}
INFO:hf-to-gguf:blk.1.attn_k.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.1.attn_k.weight.lora_b,        torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.1.attn_output.weight.lora_a,   torch.float32 --> F32, shape = {2048, 16}
